"","sponID","billNo","action","billName","rcnum","date","session","question","result","description","yeatotal","naytotal","cong","firstSpread","firstDim","secondSpread","secondDim","rcnum2","clausen","pelt1","pelt2","issue1","issue2","month","day","year","YY1","YN1","NY1","NN1","YY","YN","NY","NN","i0","i1","i2","i3","i4","i5","i6","i7","i8","i9","descrip","var31","stateDist","abroadPrcnt","recentArrivalPrcnt","totalPopBirthPlace","prcntForeignBorn","prcntExAliens","totalHouseholds","under10k","over10k","over15k","over25k","over35k","over50k","over75k","over100k","over150k","over200k","meanIncome","medianIncome","totalEmploymentPop","prcntUnemp","prcntNotEmploy","prcntBA","prcntHS","totalPopRaceFile","prcntAsian","prcntBlack","prcntBlackNotHisp","prcntHisp","prcntMulti","prcntWhite","prcntWhiteAll","prcntNotHisp","prcntOld","medianAge","gini","icpsr","state","district","lastName","firstName","middleName","age","gender","party","numberTerms","daysServed","fracServed","cd","statenm","dwnom1","dwnom2","comPower","chair","rank","comName","numCom","rankChair","black","hispanic","numSpon","numCosp","numPassH","numEnact","passPrcnt","congNum","partyControl","demSeats","repSeats","otherSeats","ses","sesNorm"
"199",400058,1,"REFERRED","Tax Reform Act of 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.4",0.3,7.1,704169,2.1,47,271382,8.4,91.6,85.4,72.3,59.9,43.6,24.9,13.7,4.5,2,57545,43670,570223,12.1,42.4,19.6,89.2,709423,1,2.2,2.1,3,2,91.4,93.7,97,23.3,40.8,0.4708558,29124,"MI",4,"Camp","Dave","Lee",59,"M","Republican",12,730,1,4," MICHIGA",0.676,0.24,3,1,0,"House Committee on Ways and Means",1,1,0,0,19,72,9,5,26.31579,113,"R",201,234,0,-0.1719913,29.83413
"2242",400400,2,"PASS_OVER:HOUSE","American Energy Solutions for Lower Costs and More American Jobs Act",1153,"2014-09-18","2nd","On Motion to Recommit with Instructions","Failed","American Energy Solutions for Lower Costs and More American Jobs Act",193,222,113,-0.236,0.113,-0.757,0.242,NA,1,2,0,96,17,9,18,2014,217,7,9,185,222,6,4,186,13,226,0,0,0,0,192,0,0,14,"KEYSTONE XL PIPELINE (PASS)","","NE.2",0.6,5.5,618515,8.2,32.6,238068,6,94,89.4,79.5,69.4,55.6,36.9,23.6,9.3,4.4,75428,56634,471461,6.4,26.8,37,90.5,634418,2.8,9.6,9.5,10.6,2.8,73.9,82.3,89.4,16.1,34.1,0.4899396,29921,"NE",2,"Terry","Lee","R.",50,"M","Republican",8,730,1,2," NEBRASK",0.755,-0.255,1,0,0,"House Committee on Energy and Commerce",1,0,0,0,16,221,6,1,6.25,113,"R",201,234,0,1.106785,55.73436
"2238",400400,3,"PASS_OVER:HOUSE","Northern Route Approval Act",168,"2013-05-22","1st","On Agreeing to the Amendment","Agreed to","",246,168,113,-0.93,-0.276,-1.687,0.611,NA,1,2,0,96,17,5,22,2013,232,5,14,163,236,7,10,161,11,246,0,0,0,0,168,0,0,20,"KEYSTONE XL PIPELINE -- IMPACT FINDINGS","","NE.2",0.6,5.5,618515,8.2,32.6,238068,6,94,89.4,79.5,69.4,55.6,36.9,23.6,9.3,4.4,75428,56634,471461,6.4,26.8,37,90.5,634418,2.8,9.6,9.5,10.6,2.8,73.9,82.3,89.4,16.1,34.1,0.4899396,29921,"NE",2,"Terry","Lee","R.",50,"M","Republican",8,730,1,2," NEBRASK",0.755,-0.255,1,0,0,"House Committee on Energy and Commerce",1,0,0,0,16,221,6,1,6.25,113,"R",201,234,0,1.106785,55.73436
"206",400058,4,"PASS_OVER:HOUSE","Jobs for America Act",1151,"2014-09-18","2nd","On Motion to Recommit with Instructions","Failed","Jobs for America Act",191,218,113,-0.958,-0.227,-0.078,0.79,NA,1,1,0,8,0,9,18,2014,238,8,15,156,239,4,14,160,13,253,0,0,0,0,164,0,0,15,"JOBS AND FULL-TIME DEF UNDER ACA (PASS)","","MI.4",0.3,7.1,704169,2.1,47,271382,8.4,91.6,85.4,72.3,59.9,43.6,24.9,13.7,4.5,2,57545,43670,570223,12.1,42.4,19.6,89.2,709423,1,2.2,2.1,3,2,91.4,93.7,97,23.3,40.8,0.4708558,29124,"MI",4,"Camp","Dave","Lee",59,"M","Republican",12,730,1,4," MICHIGA",0.676,0.24,3,1,0,"House Committee on Ways and Means",1,1,0,0,19,72,9,5,26.31579,113,"R",201,234,0,-0.1719913,29.83413
"1196",400224,5,"PASS_OVER:HOUSE","Student Success Act",366,"2013-07-18","1st","On Agreeing to the Amendment","Agreed to","",263,161,113,1.723,0.397,0.941,0.707,NA,2,2,10,45,0,7,18,2013,211,8,52,153,204,4,59,157,11,263,0,0,0,0,161,0,0,10,"FEDERAL EDUCATION PROGRAMS -- INDIAN PROGRAMS","","MN.2",0.4,5.9,670066,7.5,51.5,250150,3.4,96.6,93.7,86.6,79.5,68.2,49.3,33.5,13.8,5.9,89595,74051,514359,6.5,25.3,36.4,94.4,681195,4.5,4.1,4,5.6,2.7,83,86.4,94.4,17.3,37.3,0.4582089,20333,"MN",2,"Kline","John","Paul",65,"M","Republican",6,730,1,2," MINNESO",0.734,0.235,0,0,1,"House Committee on Armed Services House Committee on Education and the Workforce",2,0.5,0,0,8,247,3,1,12.5,113,"R",201,234,0,1.612609,65.97928
"4327",412406,6,"PASS_OVER:HOUSE","Domestic Prosperity and Global Freedom Act",996,"2014-06-25","2nd","On Agreeing to the Amendment","Failed","",196,221,113,0.253,0.017,0.212,0.564,NA,1,2,0,96,24,6,25,2014,190,3,2,222,190,3,2,222,12,192,0,0,0,0,225,0,0,16,"LIQUIFIED NATURAL GAS EXPORTS -- RECOMMIT","","CO.4",0.4,8,728317,8.1,32.9,262436,5.6,94.5,90.3,81.2,72.2,59.4,41.8,28,12,5.6,81299,62352,554984,7.7,32.1,32.1,88.9,748624,1.8,1.2,1.1,21.9,3.1,72.8,86,78.1,18.1,37.3,0.4961316,21112,"CO",4,"Gardner","Cory"," ",38,"M","Republican",2,730,1,4," COLORAD",0.779,-0.141,1,0,0,"House Committee on Energy and Commerce",1,0,0,0,24,201,4,1,4.166667,113,"R",201,234,0,1.101987,55.63718
"2195",400380,7,"PASS_OVER:HOUSE","No Taxpayer Funding for Abortion Act",668,"2014-01-28","2nd","On Motion to Recommit with Instructions","Failed","To prohibit taxpayer funded abortions",192,221,113,0.77,0.161,-0.412,0.662,NA,2,5,2,21,0,1,28,2014,192,0,0,221,192,0,0,221,13,192,0,0,0,0,221,1,0,18,"ABORTION FUNDING -- RECOMMIT","","NJ.4",0.4,3.1,733407,11.5,54.7,269586,3.6,96.2,92.9,84.3,76.2,65.7,50.1,37.5,19.5,10,100936,75270,571217,8.8,36.3,36.7,91.1,735064,4.2,6.4,6,10.1,1.4,78.3,85.4,89.9,24,42.3,0.5123528,14863,"NJ",4,"Smith","Christopher","H.",59,"M","Republican",17,730,1,4," NEW JER",0.413,0.07,0,0,0,"House Committee on Foreign Affairs",1,0,0,0,32,183,8,2,6.25,113,"R",201,234,0,1.660111,66.94137
"5916",NA,8,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5920",NA,9,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195",400224,10,"PASS_OVER:HOUSE","Success and Opportunity through Quality Charter Schools Act",851,"2014-05-09","2nd","On Agreeing to the Amendment","Failed","",190,205,113,0.194,0.365,0.439,-0.011,NA,2,5,2,45,0,5,9,2014,179,5,11,200,180,6,10,199,13,190,0,0,0,0,205,0,0,37,"CHARTER SCHOOLS -- CONFLICTS OF INTEREST","","MN.2",0.4,5.9,670066,7.5,51.5,250150,3.4,96.6,93.7,86.6,79.5,68.2,49.3,33.5,13.8,5.9,89595,74051,514359,6.5,25.3,36.4,94.4,681195,4.5,4.1,4,5.6,2.7,83,86.4,94.4,17.3,37.3,0.4582089,20333,"MN",2,"Kline","John","Paul",65,"M","Republican",6,730,1,2," MINNESO",0.734,0.235,0,0,1,"House Committee on Armed Services House Committee on Education and the Workforce",2,0.5,0,0,8,247,3,1,12.5,113,"R",201,234,0,1.612609,65.97928
