"district","percentSuccessLegislation","termsRepresentative","districtBlackPop","blackRepresentative","districtPercentWealthy","districtPercentBachelors","partyRepresentative"
"1","AK.0",0.0666666666666667,21,0.034752802936489,0,47.1,27.5,"Republican"
"2","AL.1",0,3.5,0.27709580228818,0,26.1,21.5,"Republican"
"3","AL.2",0,2,0.298762075092414,0,25.5,21,"Republican"
"4","AL.3",0,6,0.253241280529609,0,24.6,19.6,"Republican"
"5","AL.5",0,2,0.170824426263958,0,33,28.9,"Republican"
"6","AL.6",0,11,0.13612072088919,0,38.1,34.1,"Republican"
"7","AL.7",0.25,2,0.638672568709584,1,17.8,18,"Democrat"
"8","AR.1",0,2,0.181440587842498,0,19.3,14.5,"Republican"
"9","AR.2",0,2,0.217297212381231,0,29.1,26.8,"Republican"
"10","AR.3",0,2,0.0271401143338581,0,25.5,24.1,"Republican"
"11","AR.4",0,1,0.195858550960828,0,19.5,15.1,"Republican"
"12","AZ.1",0.111111111111111,2,0.0230562102656996,0,28.6,23,"Democrat"
"13","AZ.2",0,2,0.0402932401186724,0,29.5,31.8,"Democrat"
"14","AZ.3",0.0294117647058824,6,0.0472270661316189,0,23,15.3,"Democrat"
"15","AZ.4",0.130434782608696,2,0.0187961556499766,0,23.8,17.6,"Republican"
"16","AZ.5",0,4,0.0298526088292084,0,43.1,33,"Republican"
"17","AZ.6",0,2,0.0262470087650941,0,41.9,40.6,"Republican"
"18","AZ.7",0,12,0.0939518063910428,0,17.3,13.4,"Democrat"
"19","AZ.8",0,6,0.0409714635680471,0,37.1,27.8,"Republican"
"20","AZ.9",0,1,0.0546593037480389,0,32.2,35.2,"Democrat"
"21","CA.1",0,1,0.0137193301680266,0,28,22.1,"Republican"
"22","CA.10",0.133333333333333,2,0.0321205069697038,0,34.8,17.1,"Republican"
"23","CA.11",0,20,0.0927386479209452,0,49.6,41.3,"Democrat"
"24","CA.12",0,14,0.0599746665295259,0,50,54,"Democrat"
"25","CA.13",0,9,0.189787015796901,1,40.7,44.5,"Democrat"
"26","CA.14",0,4,0.0329990718836575,0,55.8,41.8,"Democrat"
"27","CA.15",0.25,1,0.0633216948403924,0,57.1,39.9,"Democrat"
"28","CA.16",0,5,0.0601342566421707,0,21.1,11.7,"Democrat"
"29","CA.17",0,7,0.0269368312239823,0,62,51.4,"Democrat"
"30","CA.18",0,11,0.0199960685412197,0,62.4,57.9,"Democrat"
"31","CA.19",0,10,0.0311110361774859,0,52.1,31.4,"Democrat"
"32","CA.2",0,1,0.017129971067113,0,42.5,38.4,"Democrat"
"33","CA.20",0.2,11,0.0228165857513037,0,39.9,26.1,"Democrat"
"34","CA.21",0,1,0.0456995081788147,0,20.7,8.2,"Republican"
"35","CA.22",0.111111111111111,6,0.0316249505598097,0,34.4,23.4,"Republican"
"36","CA.23",0.125,4,0.0618397425515284,0,36.1,18.8,"Republican"
"37","CA.24",0.037037037037037,9,0.0204678980961767,0,40.7,31.5,"Democrat"
"38","CA.25",0.125,11,0.0773698520128207,0,48.7,26.7,"Republican"
"39","CA.26",0,1,0.019242816114303,0,50,31.3,"Democrat"
"40","CA.27",0,3,0.0459264269659755,0,46,39.8,"Democrat"
"41","CA.28",0,7,0.0259455823837945,0,37.8,42.1,"Democrat"
"42","CA.29",0,1,0.0401348248186799,0,28.8,18.3,"Democrat"
"43","CA.3",0,3,0.0622734975514396,0,37.2,23.6,"Democrat"
"44","CA.30",0,9,0.0445803385515748,0,46.4,41.2,"Democrat"
"45","CA.31",0,8,0.106532064338114,0,35.5,22.3,"Republican"
"46","CA.32",0,8,0.0282546955548417,0,38.9,19.9,"Democrat"
"47","CA.33",0,20,0.0289197882718901,0,58.8,62.1,"Democrat"
